"Index","Abs_Change","Pct_Change","Date"
"2,782.10","4.99","0.17","2026-05-27"
"2,777.10","-9.24","-0.33","2026-05-26"
"2,786.35","27.85","1.00","2026-05-25"
"2,758.49","16.38","0.59","2026-05-22"
"2,742.11","-12.36","-0.44","2026-05-21"
"2,754.48","30.08","1.10","2026-05-20"
"2,724.39","-6.51","-0.23","2026-05-19"
"2,730.91","-1.03","-0.03","2026-05-18"
"2,731.94","1.77","0.06","2026-05-15"
"2,730.17","-10.07","-0.36","2026-05-14"
"2,740.25","-4.15","-0.15","2026-05-13"
"2,744.40","-39.44","-1.41","2026-05-12"
"2,783.85","38.19","1.39","2026-05-11"
"2,745.65","27.49","1.01","2026-05-08"
"2,718.16","6.94","0.25","2026-05-07"
"2,711.22","-1.64","-0.06","2026-05-06"
"2,712.86","8.78","0.32","2026-05-05"
"2,704.08","-34.63","-1.26","2026-05-04"
"2,738.72","-5.73","-0.20","2026-04-30"
"2,744.45","-25.81","-0.93","2026-04-29"
"2,770.26","-26.16","-0.93","2026-04-28"
"2,796.43","7.73","0.27","2026-04-27"
"2,788.70","1.54","0.05","2026-04-24"
"2,787.15","-17.01","-0.60","2026-04-23"
"2,804.17","-2.95","-0.10","2026-04-22"
"2,807.12","-18.10","-0.64","2026-04-21"
"2,825.23","-13.17","-0.46","2026-04-20"
"2,838.40","5.36","0.18","2026-04-17"
"2,833.03","-33.83","-1.18","2026-04-16"
"2,866.87","33.27","1.17","2026-04-15"
"2,833.60","-4.18","-0.14","2026-04-13"
"2,837.78","-13.45","-0.47","2026-04-10"
"2,851.24","48.71","1.73","2026-04-09"
"2,802.52","45.12","1.63","2026-04-08"
"2,757.40","-2.61","-0.09","2026-04-07"
"2,760.02","83.33","3.11","2026-04-06"
"2,676.68","-105.50","-3.79","2026-04-05"
"2,782.18","5.82","0.20","2026-04-02"
"2,776.36","-74.73","-2.62","2026-04-01"
"2,851.09","19.70","0.69","2026-03-31"
"2,831.39","-47.71","-1.65","2026-03-30"
"2,879.11","-71.05","-2.40","2026-03-29"
"2,950.16","14.21","0.48","2026-03-26"
"2,935.94","-24.45","-0.82","2026-03-25"
"2,960.40","23.83","0.81","2026-03-24"
"2,936.56","5.01","0.17","2026-03-23"
"2,931.55","54.51","1.89","2026-03-22"
"2,877.03","64.69","2.30","2026-03-19"
"2,812.34","13.51","0.48","2026-03-17"
"2,798.83","-26.07","-0.92","2026-03-16"
"2,824.90","4.45","0.15","2026-03-15"
"2,820.44","23.87","0.85","2026-03-12"
"2,796.57","-46.78","-1.64","2026-03-11"
"2,843.35","-32.08","-1.11","2026-03-10"
"2,875.43","162.93","6.00","2026-03-09"
"2,712.49","38.52","1.44","2026-03-03"
"2,673.97","19.04","0.71","2026-03-01"
"2,654.93","6.03","0.22","2026-02-26"
"2,648.90","10.30","0.39","2026-02-25"
"2,638.60","21.62","0.82","2026-02-24"
"2,616.97","2.41","0.09","2026-02-23"
"2,614.55","-27.59","-1.04","2026-02-22"
"2,642.15","-20.75","-0.77","2026-02-17"
"2,662.91","-8.16","-0.30","2026-02-16"
"2,671.07","8.97","0.33","2026-02-12"
"2,662.09","-0.04","0.00","2026-02-11"
"2,662.14","-10.25","-0.38","2026-02-10"
"2,672.39","-26.05","-0.96","2026-02-09"
"2,698.45","-10.24","-0.37","2026-02-08"
"2,708.70","27.19","1.01","2026-02-05"
"2,681.50","-1.64","-0.06","2026-02-04"
"2,683.15","-12.58","-0.46","2026-02-03"
"2,695.73","1.53","0.05","2026-02-02"
"2,694.20","-19.85","-0.73","2026-02-01"
"2,714.05","-17.53","-0.64","2026-01-29"
"2,731.59","5.08","0.18","2026-01-28"
"2,726.51","-42.58","-1.53","2026-01-27"
"2,769.09","-3.07","-0.11","2026-01-26"
"2,772.17","57.55","2.12","2026-01-25"
"2,714.61","9.23","0.34","2026-01-22"
"2,705.38","-9.43","-0.34","2026-01-21"
"2,714.81","42.26","1.58","2026-01-20"
"2,672.55","31.12","1.17","2026-01-18"
"2,641.43","1.52","0.05","2026-01-14"
"2,639.91","4.90","0.18","2026-01-13"
"2,635.00","-5.54","-0.20","2026-01-12"
"2,640.54","4.59","0.17","2026-01-08"
"2,635.94","-13.35","-0.50","2026-01-07"
"2,649.30","9.93","0.37","2026-01-06"
"2,639.37","28.73","1.10","2026-01-05"
"2,610.63","-10.29","-0.39","2026-01-04"
"2,620.92","-12.83","-0.48","2026-01-01"
"2,633.76","10.87","0.41","2025-12-31"
"2,622.88","-10.53","-0.40","2025-12-29"
"2,633.42","47.55","1.83","2025-12-28"
"2,585.87","1.37","0.05","2025-12-24"
"2,584.49","3.27","0.12","2025-12-23"
"2,581.21","-13.88","-0.53","2025-12-22"
"2,595.10","-19.92","-0.76","2025-12-21"
"2,615.03","-10.66","-0.40","2025-12-18"
"2,625.69","5.70","0.21","2025-12-17"
"2,619.99","18.37","0.70","2025-12-16"
"2,601.61","6.74","0.25","2025-12-15"
"2,594.87","-12.50","-0.47","2025-12-14"
"2,607.37","-1.66","-0.06","2025-12-11"
"2,609.03","-5.03","-0.19","2025-12-10"
"2,614.07","7.39","0.28","2025-12-09"
"2,606.67","-3.02","-0.11","2025-12-08"
"2,609.69","-21.48","-0.81","2025-12-07"
"2,631.17","-13.52","-0.51","2025-12-03"
"2,644.70","-0.53","-0.02","2025-12-02"
"2,645.24","-4.28","-0.16","2025-12-01"
"2,649.52","-26.51","-0.99","2025-11-30"
"2,676.03","10.43","0.39","2025-11-27"
"2,665.60","9.61","0.36","2025-11-26"
"2,655.99","5.32","0.20","2025-11-25"
"2,650.66","50.44","1.94","2025-11-24"
"2,600.22","39.92","1.55","2025-11-23"
"2,560.29","-0.79","-0.03","2025-11-20"
"2,561.08","-4.98","-0.19","2025-11-19"
"2,566.07","15.70","0.61","2025-11-18"
"2,550.36","9.78","0.38","2025-11-17"
